iter	Logloss
0	0.6901995191
1	0.6876147992
2	0.6849681232
3	0.6821380459
4	0.6797359682
5	0.6771194676
6	0.6748869097
7	0.6722136936
8	0.6697285395
9	0.6674152891
10	0.6649319008
11	0.6623102529
12	0.6599411471
13	0.6573668091
14	0.6551380233
15	0.6525029745
16	0.6499862344
17	0.6475426073
18	0.6447925737
19	0.6428361853
20	0.640398301
21	0.6382694515
22	0.6368516488
23	0.6355479018
24	0.6336051913
25	0.6310771489
26	0.6290705312
27	0.6268261274
28	0.6253689348
29	0.6234401629
30	0.6228251116
31	0.6212750407
32	0.6198498783
33	0.6178340002
34	0.6157933506
35	0.6144557745
36	0.6121098542
37	0.6102596366
38	0.6082468333
39	0.606207971
40	0.6039377672
41	0.6027158308
42	0.600194592
43	0.5981163752
44	0.5969477329
45	0.5949390825
46	0.5933129138
47	0.5912003638
48	0.58941506
49	0.5882102214
50	0.5862365639
51	0.5844254646
52	0.5826581166
53	0.5810083024
54	0.5792734653
55	0.5780250481
56	0.5763459846
57	0.5740371202
58	0.5735383077
59	0.5720426549
60	0.5703624117
61	0.569042515
62	0.5676729763
63	0.5657045006
64	0.5636482821
65	0.562386061
66	0.5609575482
67	0.5598338
68	0.5584905081
69	0.5566335214
70	0.555105363
71	0.5531347176
72	0.5519668299
73	0.5503379568
74	0.5487881775
75	0.5472808406
76	0.5455938395
77	0.5439597904
78	0.5420078743
79	0.5403983978
80	0.5387807108
81	0.5373435615
82	0.5359174881
83	0.5340399896
84	0.5325602315
85	0.5308406655
86	0.5294873117
87	0.5279268561
88	0.5275564564
89	0.5256793726
90	0.5241392709
91	0.5228019479
92	0.5211674574
93	0.5201695447
94	0.5190089993
95	0.5179887967
96	0.5165850446
97	0.5152901618
98	0.5143437426
99	0.5126815803
100	0.5112684125
101	0.5100052683
102	0.5089607803
103	0.50774537
104	0.5061765521
105	0.5045556118
106	0.5035357851
107	0.5021143024
108	0.5012607604
109	0.499634917
110	0.498268701
111	0.4969846275
112	0.4953930997
113	0.4943203541
114	0.4931608675
115	0.4920194131
116	0.4905508039
117	0.4891810233
118	0.4883403364
119	0.4872149426
120	0.4856790316
121	0.4841057856
122	0.4829838948
123	0.4822361828
124	0.481011118
125	0.4796662958
126	0.4781517179
127	0.4778892609
128	0.4768662341
129	0.4757898077
130	0.4751101076
131	0.4743174564
132	0.4733427405
133	0.4721087678
134	0.4710924377
135	0.4697539576
136	0.4689293913
137	0.4682505588
138	0.4669745891
139	0.4658314129
140	0.4647547298
141	0.463171516
142	0.4618639519
143	0.4610479663
144	0.4597482286
145	0.4588474627
146	0.4574726658
147	0.4563734462
148	0.4554200728
149	0.4547703463
150	0.4534793554
151	0.4526366516
152	0.4517461799
153	0.4508329859
154	0.4494437858
155	0.4485401783
156	0.4481595399
157	0.446722739
158	0.4457328425
159	0.4450222357
160	0.4445050586
161	0.4434243792
162	0.4426593824
163	0.441789513
164	0.4405225213
165	0.4398098473
166	0.4390714896
167	0.4387067912
168	0.4378011824
169	0.4370417643
170	0.4362092521
171	0.4352416827
172	0.4341978713
173	0.4330537301
174	0.4315731179
175	0.4312581287
176	0.4308178317
177	0.4300443894
178	0.4292723652
179	0.4284214524
180	0.4279202251
181	0.4266278403
182	0.4253946006
183	0.4246104969
184	0.4234478546
185	0.4226421282
186	0.4219107138
187	0.4206653715
188	0.4201117374
189	0.4193699527
190	0.4186232483
191	0.4177679698
192	0.4173753023
193	0.4165312058
194	0.4154126158
195	0.4149577904
196	0.4142265569
197	0.4134350159
198	0.4128671229
199	0.4117291965
200	0.410814312
201	0.410352651
202	0.4091175972
203	0.4083863648
204	0.4081041584
205	0.4076404132
206	0.407101919
207	0.4067474672
208	0.4060804873
209	0.4054278212
210	0.4048387698
211	0.404237491
212	0.4036907211
213	0.4026732132
214	0.4018132615
215	0.4007685712
216	0.3999777264
217	0.3991111475
218	0.3987445554
219	0.3979502525
220	0.397164972
221	0.3962639599
222	0.3951341288
223	0.3946755094
224	0.3940006995
225	0.3930483473
226	0.3926664681
227	0.3919338991
228	0.3910788347
229	0.3905299983
230	0.3901882301
231	0.3895891123
232	0.3886566403
233	0.3882567477
234	0.3872807992
235	0.3866571109
236	0.3862812824
237	0.3854278534
238	0.3847593806
239	0.38374713
240	0.3828628029
241	0.3823371599
242	0.3812435648
243	0.3805184129
244	0.3799340679
245	0.3793774531
246	0.3786126092
247	0.3776040815
248	0.3767230078
249	0.3759852626
250	0.3754653178
251	0.3750141407
252	0.374274139
253	0.3734962848
254	0.3729340638
255	0.3721687372
256	0.371857338
257	0.3713248931
258	0.3705374016
259	0.3699798837
260	0.3695359787
261	0.3692331204
262	0.3688262708
263	0.3681054339
264	0.3676661898
265	0.3669486216
266	0.3663886025
267	0.365717824
268	0.3650598665
269	0.3642117721
270	0.3636889445
271	0.3631716522
272	0.3623228397
273	0.3614433726
274	0.3609187659
275	0.3602974292
276	0.3596990231
277	0.3588364124
278	0.3581321898
279	0.3576280769
280	0.3569732154
281	0.3561696516
282	0.3560133171
283	0.3552881088
284	0.3552212024
285	0.3547059288
286	0.3541406286
287	0.3536016277
288	0.3530172893
289	0.3526799477
290	0.3520332985
291	0.3519700981
292	0.3514865866
293	0.3508449138
294	0.350271893
295	0.3495100996
296	0.3488954389
297	0.3482629351
298	0.3477126923
299	0.3471489101
300	0.3467833037
301	0.346182437
302	0.3455475598
303	0.3451305351
304	0.3445476298
305	0.3442435797
306	0.3437639753
307	0.3430060463
308	0.3424547705
309	0.3420107361
310	0.3417135831
311	0.3410602607
312	0.3404865836
313	0.3398414911
314	0.3392185253
315	0.3388048366
316	0.3381062784
317	0.3377223265
318	0.3370756369
319	0.3364989864
320	0.3359787653
321	0.3354337903
322	0.3351376614
323	0.3346491185
324	0.3341170109
325	0.3335404009
326	0.3331704136
327	0.3328783085
328	0.332238188
329	0.3318422001
330	0.3316268942
331	0.331209955
332	0.3307552548
333	0.3303306604
334	0.3296685995
335	0.3296249862
336	0.3294046569
337	0.328880237
338	0.3285464272
339	0.3281086852
340	0.3278517765
341	0.327165345
342	0.3266420603
343	0.3262103218
344	0.3256466938
345	0.3252976867
346	0.325035988
347	0.3245632988
348	0.3238303912
349	0.323444939
350	0.3230106213
351	0.3224142806
352	0.3220595016
353	0.3214789966
354	0.3211129367
355	0.320560444
356	0.3199590775
357	0.3194808516
358	0.3189469849
359	0.3185457302
360	0.3183429631
361	0.3177030013
362	0.3176338711
363	0.3175067628
364	0.317194339
365	0.3167136
366	0.3164912609
367	0.3160264925
368	0.3153333173
369	0.3148485823
370	0.3142853642
371	0.3140984957
372	0.3137039424
373	0.3131988737
374	0.3131521865
375	0.3127732079
376	0.312382055
377	0.3119797216
378	0.3114978377
379	0.3110876022
380	0.3107490301
381	0.31039078
382	0.3100465612
383	0.3096181903
384	0.3092004566
385	0.3086782042
386	0.3084023743
387	0.3078192901
388	0.3075731077
389	0.3072825357
390	0.3068775657
391	0.30649191
392	0.3060920176
393	0.3056093793
394	0.3055821174
395	0.3050313224
396	0.3047751463
397	0.3044846735
398	0.3040954221
399	0.3036168567
400	0.3032597929
401	0.3028337032
402	0.3026597208
403	0.3023964906
404	0.3020372727
405	0.3017483941
406	0.3015372783
407	0.3010192833
408	0.3008793169
409	0.3004899485
410	0.3002734992
411	0.2998217555
412	0.2996141437
413	0.2995899846
414	0.2990465006
415	0.2985533157
416	0.2981483601
417	0.297814042
418	0.2974141051
419	0.2969309016
420	0.2964610594
421	0.2960698652
422	0.2957216745
423	0.2953579174
424	0.294747716
425	0.2944367463
426	0.2939039424
427	0.2933338927
428	0.2932193839
429	0.2928908768
430	0.292546007
431	0.2922033215
432	0.2919636725
433	0.2914670836
434	0.2911502918
435	0.2911290397
436	0.2909331286
437	0.2906167724
438	0.2903486501
439	0.289967939
440	0.2895618369
441	0.2892398302
442	0.289121976
443	0.2886337236
444	0.2884109601
445	0.2879043504
446	0.2878533408
447	0.287385644
448	0.2870017481
449	0.2866409467
450	0.2862791838
451	0.2860092074
452	0.2856135327
453	0.2851457505
454	0.2847458737
455	0.2846263217
456	0.2842155227
457	0.2837739955
458	0.283489992
459	0.2829484424
460	0.2826444015
461	0.2823054781
462	0.2820292745
463	0.2817226084
464	0.2812848955
465	0.281086946
466	0.2807139313
467	0.2804144062
468	0.2803088277
469	0.2798836709
470	0.2793878639
471	0.2790683158
472	0.278755109
473	0.2787403215
474	0.2783529541
475	0.2780830983
476	0.2777163103
477	0.2773214322
478	0.2768783717
479	0.276486763
480	0.2761975258
481	0.2759392533
482	0.2756206582
483	0.2751945959
484	0.2749487102
485	0.2747152683
486	0.2743291993
487	0.2741683653
488	0.2738971425
489	0.2735436555
490	0.2732231959
491	0.2728586797
492	0.272522541
493	0.2721829721
494	0.2719131174
495	0.271546822
496	0.2711628315
497	0.2708603033
498	0.2705197707
499	0.2702589582
500	0.2700356545
501	0.2696800381
502	0.2694811479
503	0.2690759513
504	0.2690643246
505	0.2688843253
506	0.2686288726
