iter	Passed	Remaining
0	20	40880
1	41	41915
2	63	42154
3	85	42540
4	93	37186
5	114	38176
6	139	39575
7	159	39596
8	169	37426
9	177	35244
10	190	34522
11	212	35178
12	241	36890
13	271	38556
14	280	37136
15	313	38820
16	391	45666
17	426	46919
18	468	48888
19	490	48599
20	513	48352
21	528	47531
22	549	47271
23	560	46176
24	594	46996
25	616	46830
26	632	46233
27	670	47252
28	688	46820
29	754	49542
30	764	48555
31	784	48267
32	795	47419
33	820	47471
34	835	46902
35	849	46360
36	870	46197
37	886	45777
38	932	46911
39	955	46817
40	976	46674
41	987	46031
42	1011	46029
43	1027	45676
44	1048	45572
45	1067	45352
46	1088	45246
47	1108	45095
48	1118	44552
49	1126	43922
50	1145	43787
51	1162	43559
52	1173	43091
53	1193	42996
54	1203	42563
55	1210	42032
56	1234	42068
57	1266	42395
58	1282	42185
59	1307	42286
60	1321	42012
61	1346	42085
62	1374	42262
63	1400	42360
64	1422	42346
65	1449	42484
66	1471	42452
67	1484	42176
68	1518	42509
69	1553	42823
70	1586	43114
71	1608	43071
72	1628	42984
73	1653	43026
74	1675	43000
75	1682	42600
76	1705	42586
77	1715	42277
78	1735	42190
79	1748	41957
80	1758	41650
81	1765	41290
82	1784	41221
83	1804	41167
84	1821	41030
85	1840	40968
86	1863	40969
87	1884	40935
88	1889	40565
89	1907	40486
90	1930	40497
91	1943	40308
92	1963	40269
93	1975	40047
94	1994	40000
95	2007	39815
96	2019	39627
97	2028	39363
98	2044	39266
99	2077	39463
100	2108	39651
101	2124	39541
102	2155	39702
103	2185	39846
104	2214	39965
105	2239	40015
106	2250	39810
107	2270	39772
108	2291	39750
109	2312	39727
110	2336	39769
111	2356	39730
112	2378	39718
113	2393	39602
114	2423	39721
115	2447	39752
116	2467	39711
117	2490	39717
118	2510	39685
119	2532	39681
120	2555	39685
121	2575	39646
122	2595	39611
123	2609	39472
124	2628	39432
125	2648	39393
126	2668	39360
127	2674	39108
128	2685	38944
129	2706	38933
130	2715	38738
131	2726	38586
132	2750	38604
133	2776	38669
134	2784	38468
135	2804	38431
136	2811	38227
137	2818	38028
138	2838	38000
139	2858	37972
140	2871	37865
141	2892	37841
142	2911	37809
143	2919	37632
144	2940	37619
145	2963	37629
146	2983	37610
147	3003	37584
148	3022	37553
149	3042	37523
150	3063	37507
151	3076	37402
152	3083	37229
153	3094	37090
154	3118	37118
155	3141	37133
156	3154	37026
157	3177	37041
158	3194	36983
159	3207	36884
160	3218	36759
161	3238	36746
162	3249	36616
163	3265	36557
164	3285	36537
165	3296	36415
166	3318	36419
167	3325	36268
168	3348	36275
169	3367	36254
170	3389	36259
171	3410	36245
172	3430	36223
173	3464	36357
174	3502	36528
175	3516	36440
176	3525	36310
177	3548	36322
178	3559	36216
179	3579	36196
180	3590	36083
181	3610	36066
182	3630	36044
183	3649	36023
184	3672	36030
185	3692	36014
186	3700	35874
187	3720	35860
188	3734	35781
189	3778	35998
190	3806	36050
191	3825	36027
192	3836	35918
193	3852	35863
194	3872	35845
195	3886	35770
196	3903	35721
197	3923	35712
198	3934	35609
199	3975	35776
200	4002	35821
201	4018	35770
202	4038	35748
203	4054	35697
204	4068	35620
205	4081	35541
206	4088	35409
207	4097	35305
208	4140	35477
209	4170	35552
210	4191	35541
211	4211	35520
212	4244	35609
213	4272	35657
214	4293	35646
215	4313	35626
216	4344	35701
217	4376	35774
218	4383	35652
219	4404	35633
220	4425	35620
221	4447	35616
222	4467	35599
223	4487	35577
224	4506	35553
225	4526	35529
226	4542	35479
227	4563	35466
228	4608	35637
229	4622	35576
230	4633	35481
231	4655	35476
232	4675	35453
233	4682	35335
234	4701	35314
235	4722	35295
236	4741	35272
237	4761	35253
238	4782	35238
239	4805	35239
240	4825	35222
241	4832	35108
242	4852	35086
243	4872	35065
244	4891	35041
245	4902	34954
246	4924	34951
247	4944	34930
248	4964	34911
249	4986	34904
250	5007	34894
251	5025	34858
252	5067	34989
253	5098	35044
254	5124	35066
255	5145	35051
256	5153	34949
257	5172	34927
258	5193	34909
259	5216	34910
260	5236	34890
261	5250	34826
262	5269	34802
263	5289	34779
264	5308	34756
265	5328	34736
266	5349	34722
267	5370	34705
268	5384	34646
269	5405	34632
270	5423	34601
271	5447	34606
272	5467	34585
273	5486	34563
274	5506	34541
275	5526	34521
276	5546	34502
277	5566	34482
278	5586	34460
279	5616	34500
280	5638	34494
281	5659	34479
282	5666	34380
283	5686	34358
